term,p-value,q-value
SUZ12 CHEA,1.6978255439852467e-13,1.7657385657446566e-11
EZH2 CHEA,2.0979239430291182e-07,1.0909204503751415e-05
GATA1 CHEA,0.00011669128415652437,0.0038689303575231353
EZH2 ENCODE,0.0001488050137508898,0.0038689303575231353
TRIM28 CHEA,0.00027228483757276193,0.005663524621513448
SMAD4 CHEA,0.0023283026287619865,0.04035724556520776
REST CHEA,0.0028811911104418297,0.04280626792656433
REST ENCODE,0.014747240568806375,0.19171412739448287
ESR1 CHEA,0.030381171028533882,0.35107130966305816
