term,p-value,q-value
LRRC7-AS1,0.0035231855353655295,0.0845094770416345
H2AZ1-DT,0.0035231855353655295,0.0845094770416345
ZIM2-AS1,0.0035231855353655295,0.0845094770416345
LINC02564,0.0035231855353655295,0.0845094770416345
CNIH3-AS1,0.0035231855353655295,0.0845094770416345
LINC00681,0.0035231855353655295,0.0845094770416345
LINC00626,0.0035231855353655295,0.0845094770416345
LINC02117,0.0035231855353655295,0.0845094770416345
LINC02715,0.0035231855353655295,0.0845094770416345
LINC00470,0.0035231855353655295,0.0845094770416345
LINC00839,0.0035231855353655295,0.0845094770416345
LINC02347,0.0035231855353655295,0.0845094770416345
LINC01076,0.0035231855353655295,0.0845094770416345
LINC01821,0.0035231855353655295,0.0845094770416345
LINC00354,0.0035231855353655295,0.0845094770416345
LINC00652,0.0035231855353655295,0.0845094770416345
LINC01293,0.0035231855353655295,0.0845094770416345
LINC02669,0.0035231855353655295,0.0845094770416345
LINC00463,0.0035231855353655295,0.0845094770416345
LINC01961,0.0035231855353655295,0.0845094770416345
LINC01351,0.0035231855353655295,0.0845094770416345
LINC01168,0.0035231855353655295,0.0845094770416345
LINC01537,0.0035231855353655295,0.0845094770416345
LINC02066,0.0035231855353655295,0.0845094770416345
DPP10-AS3,0.00899775580568187,0.15199026004151817
SPRY4-AS1,0.00899775580568187,0.15199026004151817
KIF25-AS1,0.00899775580568187,0.15199026004151817
RAPGEF4-AS1,0.00899775580568187,0.15199026004151817
LAMP5-AS1,0.00899775580568187,0.15199026004151817
PSG8-AS1,0.00899775580568187,0.15199026004151817
INHBA-AS1,0.00899775580568187,0.15199026004151817
VWC2L-IT1,0.00899775580568187,0.15199026004151817
ROR1-AS1,0.00899775580568187,0.15199026004151817
TMEM51-AS1,0.00899775580568187,0.15199026004151817
ARHGAP15-AS1,0.00899775580568187,0.15199026004151817
LINC02371,0.00899775580568187,0.15199026004151817
P3H2-AS1,0.00899775580568187,0.15199026004151817
ZNF529-AS1,0.00899775580568187,0.15199026004151817
TMEM132D-AS1,0.00899775580568187,0.15199026004151817
CPB2-AS1,0.00899775580568187,0.15199026004151817
NRXN2-AS1,0.00899775580568187,0.15199026004151817
ATP6V1B1-AS1,0.00899775580568187,0.15199026004151817
PLCH1-AS1,0.00899775580568187,0.15199026004151817
C1QTNF9-AS1,0.00899775580568187,0.15199026004151817
RIC3-DT,0.00899775580568187,0.15199026004151817
LINC01896,0.00899775580568187,0.15199026004151817
NAV2-AS1,0.00899775580568187,0.15199026004151817
CSRP3-AS1,0.00899775580568187,0.15199026004151817
MIR9-3HG,0.00899775580568187,0.15199026004151817
LINGO1-AS1,0.00899775580568187,0.15199026004151817
HEXA-AS1,0.00899775580568187,0.15199026004151817
DDIT4-AS1,0.00899775580568187,0.15199026004151817
ZNF30-AS1,0.00899775580568187,0.15199026004151817
RMDN2-AS1,0.00899775580568187,0.15199026004151817
LINC00622,0.00899775580568187,0.15199026004151817
PPP1R26-AS1,0.00899775580568187,0.15199026004151817
LINC02329,0.00899775580568187,0.15199026004151817
LINC02134,0.00899775580568187,0.15199026004151817
LINC01551,0.00899775580568187,0.15199026004151817
LINC02731,0.00899775580568187,0.15199026004151817
LINC01531,0.00899775580568187,0.15199026004151817
LINC00618,0.00899775580568187,0.15199026004151817
LINC01623,0.00899775580568187,0.15199026004151817
LINC00511,0.00899775580568187,0.15199026004151817
LINC01546,0.00899775580568187,0.15199026004151817
LINC02677,0.00899775580568187,0.15199026004151817
LINC01198,0.00899775580568187,0.15199026004151817
LINC00665,0.00899775580568187,0.15199026004151817
LINC00327,0.00899775580568187,0.15199026004151817
LINC01694,0.00899775580568187,0.15199026004151817
LINC01664,0.00899775580568187,0.15199026004151817
LINC01128,0.00899775580568187,0.15199026004151817
LINC01318,0.00899775580568187,0.15199026004151817
LINC02151,0.00899775580568187,0.15199026004151817
LINC00599,0.00899775580568187,0.15199026004151817
LINC02106,0.00899775580568187,0.15199026004151817
LINC01337,0.00899775580568187,0.15199026004151817
LINC02063,0.00899775580568187,0.15199026004151817
LINC02232,0.00899775580568187,0.15199026004151817
LINC02500,0.00899775580568187,0.15199026004151817
LINC02318,0.00899775580568187,0.15199026004151817
LINC02267,0.00899775580568187,0.15199026004151817
LINC02234,0.00899775580568187,0.15199026004151817
LINC02047,0.00899775580568187,0.15199026004151817
LINC02008,0.00899775580568187,0.15199026004151817
LINC00322,0.00899775580568187,0.15199026004151817
LINC01331,0.00899775580568187,0.15199026004151817
NTM-AS1,0.021253019669436757,0.2770592926472227
LEMD1-DT,0.021253019669436757,0.2770592926472227
HTR5A-AS1,0.021253019669436757,0.2770592926472227
KIRREL3-AS3,0.021253019669436757,0.2770592926472227
LY86-AS1,0.021253019669436757,0.2770592926472227
TSPEAR-AS2,0.021253019669436757,0.2770592926472227
LINC01775,0.021253019669436757,0.2770592926472227
LINC02339,0.021253019669436757,0.2770592926472227
LINC01742,0.021253019669436757,0.2770592926472227
LINC01476,0.021253019669436757,0.2770592926472227
LINC01654,0.021253019669436757,0.2770592926472227
LINC02192,0.021253019669436757,0.2770592926472227
ZNF667-AS1,0.021253019669436757,0.2770592926472227
MRPL23-AS1,0.021253019669436757,0.2770592926472227
LINC01572,0.021253019669436757,0.2770592926472227
SNAP25-AS1,0.021253019669436757,0.2770592926472227
GNG12-AS1,0.021253019669436757,0.2770592926472227
