term,p-value,q-value
TRIM28 CHEA,0.004851444306431873,0.26484451516457636
SUZ12 CHEA,0.006710957801206657,0.26484451516457636
NELFE ENCODE,0.007639745629747395,0.26484451516457636
STAT5A ENCODE,0.011363369260164393,0.29544760076427423
SOX2 CHEA,0.015203272231979925,0.3162280624251825
SMAD4 CHEA,0.019229549460283164,0.33331219064490814
GATA1 CHEA,0.03650809331489813,0.5424059578213436
