term,p-value,q-value
LINC02251,0.012232917026897177,0.592169759762562
LINC02330,0.012232917026897177,0.592169759762562
LINC01960,0.012232917026897177,0.592169759762562
LINC01505,0.012232917026897177,0.592169759762562
LINC02371,0.023288808657688218,0.7139960587636246
LURAP1L-AS1,0.023288808657688218,0.7139960587636246
KIRREL3-AS3,0.023288808657688218,0.7139960587636246
PCOLCE-AS1,0.023288808657688218,0.7139960587636246
CADM3-AS1,0.023288808657688218,0.7139960587636246
TFAP2A-AS1,0.023288808657688218,0.7139960587636246
DIRC3-AS1,0.023288808657688218,0.7139960587636246
SLC16A12-AS1,0.023288808657688218,0.7139960587636246
LRRC52-AS1,0.023288808657688218,0.7139960587636246
GRM5-AS1,0.023288808657688218,0.7139960587636246
WWC2-AS2,0.023288808657688218,0.7139960587636246
MIR124-2HG,0.023288808657688218,0.7139960587636246
NAV2-AS1,0.023288808657688218,0.7139960587636246
LINC02725,0.023288808657688218,0.7139960587636246
ARHGAP5-AS1,0.023288808657688218,0.7139960587636246
CPEB1-AS1,0.023288808657688218,0.7139960587636246
SEPTIN4-AS1,0.023288808657688218,0.7139960587636246
ZNF30-AS1,0.023288808657688218,0.7139960587636246
PTENP1-AS,0.023288808657688218,0.7139960587636246
SEMA6A-AS1,0.023288808657688218,0.7139960587636246
LINC01050,0.023288808657688218,0.7139960587636246
GRM3-AS1,0.023288808657688218,0.7139960587636246
LINC01894,0.023288808657688218,0.7139960587636246
LINC01443,0.023288808657688218,0.7139960587636246
LINC01121,0.023288808657688218,0.7139960587636246
LINC01671,0.023288808657688218,0.7139960587636246
LINC00626,0.023288808657688218,0.7139960587636246
LINC02794,0.023288808657688218,0.7139960587636246
LINC02577,0.023288808657688218,0.7139960587636246
LINC01614,0.023288808657688218,0.7139960587636246
LINC01508,0.023288808657688218,0.7139960587636246
LINC00327,0.023288808657688218,0.7139960587636246
LINC02765,0.023288808657688218,0.7139960587636246
LINC02521,0.023288808657688218,0.7139960587636246
LINC01358,0.023288808657688218,0.7139960587636246
LINC01168,0.023288808657688218,0.7139960587636246
LINC02066,0.023288808657688218,0.7139960587636246
LINC02212,0.023288808657688218,0.7139960587636246
LINC02063,0.023288808657688218,0.7139960587636246
LINC02475,0.023288808657688218,0.7139960587636246
LINC02847,0.023288808657688218,0.7139960587636246
LINC01111,0.023288808657688218,0.7139960587636246
