	GeneID	Control_Rep1	Control_Rep2	sgRNA6_D3_Rep1	sgRNA6_D3_Rep2	sgRNA7_D3_Rep1	sgRNA7_D3_Rep2	sgRNA6_D5_Rep1	sgRNA6_D5_Rep2	sgRNA7_D5_Rep1	sgRNA7_D5_Rep2
1	ENSG00000102931	561.223386776124	512.16191050131	979.913012436157	989.86188818659	1118.05139858734	1368.29295803978	885.924897077289	1004.72960597085	1117.38685793313	1072.56340303692
2	ENSG00000251002	0	1.12070439934641	1.15283883816019	1.84675725407946	0	4.53979083623019	6.33449875336162	1.32988697017982	5.19312250007653	9.59788280122523
3	ENSG00000167977	286.33846264088	328.366389008498	539.528576258967	327.799412599104	579.556548690605	602.884223051369	510.379613842279	387.662051807417	533.160576674524	417.507901853297
4	ENSG00000237499	122.552862010297	109.829031135948	123.35375568314	84.0274550606154	147.822115657928	101.691314731556	123.070261493883	113.705335950374	120.30733791844	119.973535015315
5	ENSG00000211798	0	3.36211319803923	0	0.923378627039729	1.17319139411054	0	0.904928393337374	0	0	4.79894140061261
6	ENSG00000274512	159.204185228329	173.709181898694	247.86035020444	263.162908706323	296.817422709966	253.320328661645	209.038458860933	162.246210361938	207.724900003061	194.357126724811
7	ENSG00000165819	752.497479820232	683.629683601311	871.5461616491	1126.52192498847	1024.1960870585	836.229472033601	954.69945497093	1183.59940346004	959.862142097479	1240.52635205836
8	ENSG00000129472	442.106586317518	407.936401362094	635.214199826262	602.042864829903	789.557808236391	893.430836570102	653.358299989584	612.412949767806	642.216149176131	640.658676981784
9	ENSG00000110811	167.221662182274	187.157634690851	247.86035020444	155.127609342675	181.844666087133	118.034561741985	226.232098334343	114.370279435464	216.380104169856	142.768506668225
10	ENSG00000200785	0	0	0	0	0	1.81591633449208	0	3.32471742544954	3.46208166671769	4.79894140061261
11	ENSG00000100888	3941.16259978907	4112.98514560133	5062.11533836137	4584.57488325226	5151.48341153936	5363.30889392235	4678.47979355422	4792.91264052806	5008.76665132382	4419.82502996422
12	ENSG00000260830	0	4.48281759738564	2.30567767632037	0.923378627039729	1.17319139411054	0	0	1.99483045526973	4.32760208339711	1.19973535015315
13	ENSG00000092201	4730.31140282733	4592.64662852159	3201.43345357083	3639.95854779061	3422.19929662043	3929.64294784085	3608.85443262945	4292.87513974045	3680.1928117209	4344.24170290457
14	ENSG00000169327	2.29070770112704	0	2.30567767632037	0	0	0	0	4.65460439562936	0	0
15	ENSG00000227775	4.58141540225408	14.5691571915033	5.76419419080093	3.69351450815892	2.34638278822107	6.35570717072227	10.8591407200485	5.98449136580918	2.59656125003827	5.99867675076577
16	ENSG00000261219	1.14535385056352	1.12070439934641	4.61135535264074	3.69351450815892	3.51957418233161	2.72387450173811	4.52464196668687	3.32471742544954	0	0
17	ENSG00000230989	1326.31975895256	1264.15456246275	1279.65111035781	1340.74576646169	1506.37775003793	1378.28049787949	1223.46318779213	1299.29956986568	1323.38071710284	1448.08056763486
18	ENSG00000165795	238.233600917212	257.762011849675	296.279581407168	213.300462846177	312.068910833403	194.303047790652	183.700463847487	152.937001570679	135.02118500199	148.767183418991
19	ENSG00000258471	0	1.12070439934641	3.45851651448056	0	3.51957418233161	0.907958167246038	0	1.99483045526973	1.73104083335884	1.19973535015315
20	ENSG00000165792	528.008125109782	532.334589689545	691.703302896111	772.867910832253	576.036974508273	707.299412284664	582.773885309269	802.58678650352	598.94012834216	719.841210091892
21	ENSG00000169413	0	2.24140879869282	2.30567767632037	2.77013588111919	4.69276557644214	5.44774900347623	2.71478518001212	1.32988697017982	0	2.39947070030631
22	ENSG00000259171	0	0	0	0	0	0	0	21.2781915228771	0	26.3941777033694
23	ENSG00000258818	34.3606155169056	39.2246539771244	88.7685905383343	38.7819023356686	87.9893545582902	73.5446115469291	48.8661332402182	21.943135007967	101.265888751492	41.9907372553604
24	ENSG00000145741	5016.64986546821	4437.98942141179	4192.87485438859	5762.80601135495	4103.82349659865	4431.74381432791	4575.31795671376	6606.87846785333	5010.49769215718	6592.54574909158
25	ENSG00000256197	12.5988923561987	5.60352199673206	1.15283883816019	0.923378627039729	0	3.63183266898415	3.6197135733495	1.32988697017982	0.865520416679422	2.39947070030631
26	ENSG00000165782	257.704616376792	279.055395437256	296.279581407168	228.997899505853	271.007212039534	332.31268921205	259.714448887826	221.42618053494	270.04237000398	181.160037873126
27	ENSG00000100823	2380.04530147099	2049.76834640459	1982.88280163552	2102.53313376946	1951.01728840582	1864.94607552336	1929.30733459528	2097.23175197357	1989.83143794599	2273.49848854023
28	ENSG00000092094	381.402832237652	337.33202420327	420.786175928468	320.412383582786	434.080815820898	376.802639407106	429.840986835253	380.347673471428	443.146453339864	399.511871601
29	ENSG00000251192	13.7442462067622	14.5691571915033	9.22271070528148	12.9273007785562	5.86595697055268	15.4352888431826	9.95421232671111	7.97932182107891	7.7896837501148	14.3968242018378
30	ENSG00000147955	2318.19619354056	2236.92598109544	1906.79543831695	2154.24233688369	2126.9959975224	1500.8548504577	2228.83863278995	2252.82852748461	2131.77678628142	2368.27758120233
31	ENSG00000188897	96.2097234473356	128.881005924837	84.1572351856935	68.33001840094	68.0451008584111	54.4774900347623	58.8203455669293	54.5253657773725	60.5864291675596	52.7883554067388
32	ENSG00000129484	667.741294878532	796.820827935298	703.231691277713	674.066397739002	656.9871807019	717.28695212437	623.495663009451	732.76772056908	650.005832926246	715.04226869128
33	ENSG00000142409	542.897725167108	653.370664818958	533.764382068166	368.428072188852	458.71783509722	404.949342591733	477.802191682133	418.914395606643	477.767270007041	435.503932105595
34	ENSG00000277209	16336.1819705875	14891.9200585151	33012.6929695551	28537.9398472899	33290.4789992806	31240.1166604344	26709.8664577459	25193.3787630865	25153.7543495374	31091.141599219
35	ENSG00000111729	1.14535385056352	0	3.45851651448056	0.923378627039729	1.17319139411054	1.81591633449208	0	0.664943485089909	3.46208166671769	2.39947070030631
36	ENSG00000222489	26.3431385629609	25.7762011849675	20.7510990868833	29.5481160652713	25.8102106704318	41.7660756933178	23.5281382267717	26.5977394035964	30.2932145837798	44.3902079556667
37	ENSG00000100814	911.701665048561	877.51154468824	637.519877502583	790.412104746008	678.10462579589	569.289770863266	772.808847910117	809.901164839509	707.130180427088	838.615009757054
38	ENSG00000232403	0	1.12070439934641	2.30567767632037	1.84675725407946	3.51957418233161	0	1.80985678667475	0.664943485089909	0.865520416679422	1.19973535015315
39	ENSG00000164091	2250.62031635732	2204.42555351439	1865.29324014318	1950.17566030791	1771.51900510691	2091.93561733487	2102.14865772272	2109.20073470519	2001.08320336282	2077.94162646526
40	ENSG00000180318	284.047754939753	303.710892222877	446.148630367992	687.917077144598	506.818682255751	568.38181269602	474.182478108784	643.665293567032	416.315320422802	717.441739391586
41	ENSG00000287686	50.3955694247948	41.4660627758172	56.4891030698491	49.8624458601454	65.69871807019	50.8456573657781	49.7710616335556	69.1541224493505	39.8139391672534	68.3849149587298
42	ENSG00000285628	27.4884924135245	22.4140879869282	63.4061360988102	25.8546015571124	28.1565934586529	49.0297410312861	30.7675653734707	33.2471742544954	23.3690512503444	16.7962949021442
43	ENSG00000232827	6.87212310338111	7.84493079542488	28.8209709540046	17.5441939137549	23.4638278822107	15.4352888431826	18.0985678667475	19.2833610676074	17.3104083335884	25.1944423532162
44	ENSG00000141314	9.16283080450815	11.2070439934641	3.45851651448056	3.69351450815892	3.51957418233161	6.35570717072227	5.42957036002424	5.31954788071927	12.1172858335119	7.19841210091892
45	ENSG00000223396	9.16283080450815	16.8105659901962	8.0698718671213	18.4675725407946	9.38553115288429	5.44774900347623	14.478854293398	11.9689827316184	12.1172858335119	3.59920605045946
46	ENSG00000149218	926.591265105887	1013.11677700916	774.707699243645	604.813000711023	766.09398035418	896.15471107184	1159.21327186518	887.034609109939	1157.20079710039	897.402041914559
47	ENSG00000278301	0	0	2.30567767632037	3.69351450815892	4.69276557644214	2.72387450173811	0	0.664943485089909	0.865520416679422	1.19973535015315
48	ENSG00000287515	169.512369883401	183.795521492811	262.847255100522	332.416305734303	166.593177963696	321.417191205097	118.545619527196	257.998072214885	199.069695836267	219.551569078027
49	ENSG00000086619	174.093785285655	162.50213790523	273.222804643964	272.39669497672	408.270605150466	458.518874459249	257.904592101152	250.018750393806	278.697574170774	268.740718434306
50	ENSG00000203812	4835.68395707918	4200.40008875035	1800.73426520621	881.826588822942	1800.84878995967	1010.55744014484	1424.35729111303	632.361254320503	1049.87626543214	1104.95625749105
51	ENSG00000181404	274.884924135245	295.865961427453	255.930222071561	153.280852088595	184.191048875354	210.646294801081	220.802527974319	125.009375196903	169.642001669167	117.574064315009
52	ENSG00000167700	200.436923848616	226.382288667975	219.039379250435	150.510716207476	114.972756622833	81.7162350521434	185.510320634162	164.905984302297	145.407430002143	167.962949021441
53	ENSG00000185989	823.50941855517	992.94409782092	972.995979407196	689.763834398678	814.194827512712	849.848844542292	929.361459957483	791.282747256992	985.827754597862	730.63882824327
54	ENSG00000283199	223.344000859886	291.383143830067	164.855953856906	96.9547558391716	144.302541475596	111.678854571263	160.172325620715	77.1334442704294	141.079827918746	99.5780340627117
55	ENSG00000286699	130.570338964241	122.156779528759	166.008792695067	313.025354566468	240.50423579266	239.700956152954	136.644187393943	352.420047097652	203.397297919664	321.529073841045
56	ENSG00000150403	870.468926428274	870.787318292162	1103.2667681193	843.044686487273	1019.50332148206	1224.83556761491	1164.6428422252	837.828791213285	1092.28676584943	758.232741296793
57	ENSG00000153531	52.6862771259219	35.8625407790852	28.8209709540046	83.1040764335756	39.8885073997582	60.8331972054846	51.5809184202303	85.1127660915083	52.7967454174448	82.7817391605676
58	ENSG00000232662	0	2.24140879869282	3.45851651448056	1.84675725407946	1.17319139411054	4.53979083623019	1.80985678667475	3.98966091053945	5.19312250007653	0
59	ENSG00000139842	1716.88542199471	1831.23098853204	2053.20597076329	2411.86497382777	2278.33768736266	2785.61565711084	1989.03260855555	2593.27959185064	2045.22474461347	2535.04079487361
60	ENSG00000269125	3.43606155169056	0	6.91703302896111	0.923378627039729	2.34638278822107	0.907958167246038	3.6197135733495	1.32988697017982	3.46208166671769	1.19973535015315
61	ENSG00000283828	85.9015387922639	79.5700123535952	63.4061360988102	87.7209695687743	58.6595697055268	97.1515238953261	115.830834347184	93.0920879125872	88.2830825013011	75.5833270596487
62	ENSG00000173611	389.420309191596	449.402464137911	283.598354187406	270.549937722641	269.834020645423	197.934880459636	350.207288221564	284.595811618481	320.242554171386	333.526427342577
63	ENSG00000235280	20.6163693101433	32.5004275810459	6.91703302896111	3.69351450815892	15.251488123437	5.44774900347623	11.7640691133859	11.9689827316184	5.19312250007653	8.39814745107208
64	ENSG00000068650	8284.34440112593	9223.39720662096	2883.24993423862	3151.4912540866	2772.2512642832	1837.70733050598	3931.91386905089	3843.37334381967	3777.99661880568	3747.97323387845
65	ENSG00000153495	1.14535385056352	1.12070439934641	2.30567767632037	3.69351450815892	0	0.907958167246038	0	1.32988697017982	2.59656125003827	3.59920605045946
66	ENSG00000102606	2476.25502491833	2415.11798059152	2152.35011084507	2356.46225620539	2139.90110285762	2503.24066709733	2124.77186755615	2563.3571350216	2197.55633794905	2314.28949044543
67	ENSG00000229152	92.773661895645	106.466917937909	89.9214293764945	156.050987969714	109.10679965228	72.6366533796831	101.351980053786	123.014544741633	109.921092918287	117.574064315009
68	ENSG00000088448	958.661172921665	944.753808649025	916.506876337347	1120.05827459919	901.010990676892	849.848844542292	1052.43172145137	1152.34705966081	943.41725418057	1172.14143709963
69	ENSG00000134905	716.991510452763	766.561809152945	922.271070528148	734.086008496585	917.435670194439	939.73670309965	866.016472423867	742.741872845428	824.840957095489	712.642797990973
70	ENSG00000117528	2239.16677785168	2068.82032119348	2693.03152594219	2890.17510263435	3199.29293173943	3376.69642398802	2872.24272045282	2824.01498117684	2768.79981295747	2665.81194804031
71	ENSG00000213995	601.310771545848	600.697558049676	787.388926463407	771.021153578174	743.80334386608	681.876583601775	780.953203450154	775.989047099924	804.933987511863	718.641474741739
72	ENSG00000117713	7159.60691987256	7591.65160117259	7825.47003343134	5362.05968721971	7657.42022935947	5972.54882414444	6887.41000169075	4905.95303299335	6840.20785301747	4989.69932128697
73	ENSG00000225369	0	0	8.0698718671213	19.3909511678343	0	0	0	9.97415227634863	19.0414491669473	14.3968242018378
74	ENSG00000041515	915.137726600252	1029.92734299935	893.450099574144	1302.88724275306	902.184182071002	877.087589559673	735.706783783285	1182.93445997495	830.034079595566	1062.96552023569
75	ENSG00000239650	6.87212310338111	4.48281759738564	0	4.61689313519865	7.03914836466322	0	11.7640691133859	3.98966091053945	2.59656125003827	7.19841210091892
76	ENSG00000223963	17.1803077584528	1.12070439934641	0	0	0	0.907958167246038	0	0	0	0
77	ENSG00000250878	1.14535385056352	0	2.30567767632037	5.54027176223838	1.17319139411054	0	3.6197135733495	0	5.19312250007653	1.19973535015315
78	ENSG00000166986	2091.41613112899	1840.19662372681	2824.45515349245	2613.16151452243	2969.34741849377	2771.99628460215	2730.16896269886	2601.25891367172	2976.52471296053	2663.41247734
