"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneName","threshold"
"ENSG00000114805",46.6975215933001,2.09065980536964,0.375665175445687,5.56522121830774,2.61820047887305e-08,9.36941742796712e-06,"PLCH1",TRUE
"ENSG00000010404",1193.40344881151,-1.08105036309011,0.19450832949688,-5.5578615367598,2.7309989016955e-08,9.48495181300006e-06,"IDS",TRUE
"ENSG00000163599",246.035480592628,1.18972702707924,0.219587117842173,5.41801831897238,6.02632428401034e-08,1.88699279143074e-05,"CTLA4",TRUE
"ENSG00000103021",80.8389252064808,-1.18879405673059,0.231143227004416,-5.14310573637479,2.70233426217052e-07,7.96393803145546e-05,"CCDC113",TRUE
"ENSG00000104055",83.3943323304101,1.3499335822357,0.262837677631739,5.13599722231257,2.80651802942534e-07,8.11191653505055e-05,"TGM5",TRUE
"ENSG00000137965",58.3445953953241,-2.34964984989023,0.458491088029088,-5.1247448668864,2.97940911399699e-07,8.44915452516506e-05,"IFI44",TRUE
"ENSG00000263513",51.4665870801236,1.49076414159888,0.294213345921659,5.06694941702555,4.04241646263501e-07,0.000112513924876675,"FAM72C",TRUE
"ENSG00000118298",561.078686041952,3.10709466802169,0.615550914435792,5.04766477500829,4.47242995576465e-07,0.000120036825419898,"CA14",TRUE
"ENSG00000169884",17.4465979616645,-3.64228903734701,0.724617552149233,-5.02649849778535,4.99516394916358e-07,0.000129443645096429,"WNT10B",TRUE
"ENSG00000189058",714.201189137917,1.32571552701449,0.270928861757733,4.89322369869902,9.91975448921739e-07,0.000229375246112211,"APOD",TRUE
"ENSG00000169744",37.7217698980796,2.19706314386736,0.44933507047438,4.88958749992036,1.01047499714451e-06,0.000230112715258818,"LDB2",TRUE
"ENSG00000123243",194.090315751856,1.29626974462121,0.265454160967174,4.88321501497016,1.04369953797246e-06,0.000234131403816808,"ITIH5",TRUE
"ENSG00000140522",238.314605690164,1.62907382927034,0.334110032407385,4.87586025936506,1.08335282967339e-06,0.00023945283867634,"RLBP1",TRUE
"ENSG00000167535",100.476577169696,2.14465121649631,0.451383037365746,4.75128890312851,2.02124100051832e-06,0.000394535743347926,"CACNB3",TRUE
"ENSG00000153714",172.40373502263,-1.35875775201653,0.286373566440409,-4.74470381085005,2.08811643990245e-06,0.000402363975535049,"LURAP1L",TRUE
"ENSG00000165730",58.075678058831,1.15295493926216,0.243999683434987,4.7252312914142,2.29853589601678e-06,0.00043493795090474,"STOX1",TRUE
"ENSG00000171303",24.5991892249235,-2.6060677587445,0.55334025261582,-4.70970211623819,2.48079097429392e-06,0.000460324547452317,"KCNK3",TRUE
"ENSG00000108511",80.4521890028003,-1.02173747316608,0.217945491499359,-4.68804133610208,2.75832311896289e-06,0.000499489114192918,"HOXB6",TRUE
"ENSG00000005238",250.431315123322,-1.16336905899817,0.250910864372353,-4.63658304278019,3.54215924541128e-06,0.000619054109982925,"FAM214B",TRUE
"ENSG00000185924",61.6011241843558,-1.53151715515145,0.334115735597778,-4.58379235689503,4.5661769318199e-06,0.000737953110594119,"RTN4RL1",TRUE
"ENSG00000021826",31.8522821602971,1.41624068428214,0.310736254846532,4.55769374250069,5.17183759904132e-06,0.000818239148564117,"CPS1",TRUE
"ENSG00000182272",67.2114863635939,-3.08016650126701,0.680398788494645,-4.52700174273054,5.98264468992719e-06,0.000908274239288947,"B4GALNT4",TRUE
"ENSG00000155366",1235.78328611276,-1.05521239048314,0.234133632157209,-4.50688088149001,6.57875409609509e-06,0.000978996772913952,"RHOC",TRUE
"ENSG00000224769",51.6322540429821,-1.21878356904676,0.27150119260766,-4.48905420024431,7.1540094998367e-06,0.00102404535983377,"MUC20P1",TRUE
"ENSG00000164970",1036.91259092779,-1.16569849309959,0.265576340012933,-4.38931605519837,1.13707711537347e-05,0.00151241318974012,"FAM219A",TRUE
"ENSG00000135519",23.9540182097958,3.37177141306969,0.771718907809165,4.36917040511787,1.24719420296618e-05,0.00162664030870421,"KCNH3",TRUE
"ENSG00000153832",78.4382982805217,-1.49197192923434,0.341589490421031,-4.36773370104387,1.25542432341775e-05,0.00162664030870421,"FBXO36",TRUE
"ENSG00000286104",40.5035904319317,-1.39104973937718,0.320677579172085,-4.33784533040492,1.43886350484907e-05,0.00176225239957815,"",TRUE
"ENSG00000277586",37.0032136234874,2.09743716971574,0.485502450189813,4.32013714636398,1.55932259863385e-05,0.0018309858326146,"NEFL",TRUE
"ENSG00000206159",72.2821050747764,1.42184919331009,0.329015607376475,4.3215250627401,1.5495444670028e-05,0.0018309858326146,"GYG2P1",TRUE
"ENSG00000183307",45.463340205565,1.4993891642502,0.347943390860497,4.30929054448216,1.63779088317671e-05,0.00190821681970123,"TMEM121B",TRUE
"ENSG00000197852",243.769460451318,-1.01829432417452,0.243201368754877,-4.18704191258419,2.82613652789722e-05,0.00297399265610717,"INKA2",TRUE
"ENSG00000226445",62.2614963892831,1.04842054173055,0.251577861649435,4.16737997078412,3.08120660209874e-05,0.00321600939094056,"THBS2-AS1",TRUE
