"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneName","threshold"
"ENSG00000123243",194.090315751856,-4.22498696801036,0.304454169207839,-13.8772511442473,8.70175938995794e-44,7.88530735676102e-41,"ITIH5",TRUE
"ENSG00000148154",3215.46426267271,-1.74752720251011,0.127295049678578,-13.7281630897873,6.88572086747351e-43,5.97967476332845e-40,"UGCG",TRUE
"ENSG00000147381",262.576695080882,-3.93879358149551,0.290138230410101,-13.5755759450526,5.59025443847111e-42,4.66048332026459e-39,"MAGEA4",TRUE
"ENSG00000185477",83.6214550552388,-4.42826002149531,0.326813948329915,-13.5497889368695,7.9458278724195e-42,6.3694978660372e-39,"GPRIN3",TRUE
"ENSG00000031081",2963.54024034607,1.287480091062,0.0955247871307454,13.4779687004151,2.10831651740007e-41,1.62746417983897e-38,"ARHGAP31",TRUE
"ENSG00000153208",418.465868037021,-1.86805138975356,0.139881774060317,-13.3545017019019,1.11501773231907e-40,8.29971413464077e-38,"MERTK",TRUE
"ENSG00000095637",1319.43164820781,-1.67667846682346,0.126560900857488,-13.2479972524173,4.63405198398003e-40,3.33044522241765e-37,"SORBS1",TRUE
"ENSG00000102393",942.762274473668,2.29747778992678,0.173688312818364,13.2275900010002,6.08059835495556e-40,4.22439436379946e-37,"GLA",TRUE
"ENSG00000175352",860.283368112115,4.21075577906626,0.318588313307226,13.216918522073,7.00764865675702e-40,4.71140042916548e-37,"NRIP3",TRUE
"ENSG00000140090",100.024530786711,-5.91855248757318,0.450570316860456,-13.1356910699605,2.0560577137539e-39,1.33913608968934e-36,"SLC24A4",TRUE
"ENSG00000162733",486.149077789888,6.36142650709459,0.488279835691694,13.0282392228691,8.45359858338642e-39,5.33908792954363e-36,"DDR2",TRUE
"ENSG00000184083",536.577843930521,2.07931388106711,0.16180950566346,12.8503815183255,8.55870933657714e-38,5.24648882332179e-35,"FAM120C",TRUE
"ENSG00000213190",2388.34585685348,4.51136030520607,0.352595927784904,12.7947033692294,1.7552137958905e-37,1.04520474097e-34,"MLLT11",TRUE
"ENSG00000205916",992.269865393113,3.22303673048204,0.254113709986796,12.6834428990451,7.30511890718413e-37,4.22925800732032e-34,"DAZ4",TRUE
"ENSG00000112319",1601.46484422942,1.35236534879047,0.107001553764867,12.6387449640428,1.29098125542085e-36,7.27206252040036e-34,"EYA4",TRUE
"ENSG00000168615",4450.71175489047,1.24136318069033,0.0983479917213542,12.6221507827779,1.59407300614899e-36,8.74307094583084e-34,"ADAM9",TRUE
"ENSG00000187191",1749.22193305007,2.5117023734481,0.201207971139065,12.4831156500859,9.23027975720085e-36,4.93275617178411e-33,"DAZ3",TRUE
"ENSG00000161544",1071.64471484466,-1.71099494062756,0.1371201600848,-12.4780698882602,9.83416662854367e-36,5.12409252180268e-33,"CYGB",TRUE
"ENSG00000130881",153.639768386014,-2.98523023724623,0.243612666079847,-12.2540025741838,1.59904647407195e-34,8.12861624697745e-32,"LRP3",TRUE
"ENSG00000137571",2900.73010903729,-1.10061706120371,0.0901762151627824,-12.2051813686893,2.91657884016268e-34,1.44731752825406e-31,"SLCO5A1",TRUE
"ENSG00000113732",1499.15139182755,1.62354628433995,0.133377487821357,12.172566081875,4.35182750023698e-34,2.1093206688358e-31,"ATP6V0E1",TRUE
"ENSG00000145794",68.3080546402427,-4.10371815721608,0.338197470054208,-12.1340888699088,6.96812742649459e-34,3.30067526870455e-31,"MEGF10",TRUE
"ENSG00000164949",233.864979905517,3.83010011040906,0.316073965397445,12.1177335994533,8.50794233736913e-34,3.94050075989883e-31,"GEM",TRUE
"ENSG00000160691",1862.57918543678,2.08264897152106,0.172605872006022,12.0659219024043,1.59862086657012e-33,7.24314263066402e-31,"SHC1",TRUE
"ENSG00000145604",1159.89509346706,-1.58472484764662,0.131430924198157,-12.0574732112311,1.77134296987729e-33,7.85496386769838e-31,"SKP2",TRUE
"ENSG00000285219",337.640448951157,-2.18028224623615,0.184591845879349,-11.8113681341114,3.40967389951871e-32,1.48050882112019e-29,"HULC",TRUE
"ENSG00000214107",58.8248083159039,-4.46441751583626,0.378374477599849,-11.7989393580547,3.95261940852732e-32,1.68123456556176e-29,"MAGEB1",TRUE
"ENSG00000222009",608.183641608244,1.95025748127248,0.166548644899706,11.7098369815432,1.13497628299416e-31,4.73103513803287e-29,"BTBD19",TRUE
"ENSG00000170485",1027.5758405584,-2.33244250295967,0.199736319320697,-11.6776083132617,1.65897844671088e-31,6.7796919188918e-29,"NPAS2",TRUE
"ENSG00000106034",631.633764480555,1.97390348452393,0.169153292156252,11.6693175720197,1.82884357447907e-31,7.33014572678706e-29,"CPED1",TRUE
"ENSG00000144668",756.18823030611,-3.35617038647533,0.288967257003807,-11.6143621989363,3.48378305701828e-31,1.36998125423349e-28,"ITGA9",TRUE
"ENSG00000173950",751.923907131109,-1.73037552426551,0.149277841685395,-11.591643506692,4.54330072045036e-31,1.75354580769678e-28,"XXYLT1",TRUE
"ENSG00000158639",74.1896603706381,-4.65417936706225,0.402029800109515,-11.5767024379646,5.40867931050119e-31,2.04959443980847e-28,"PAGE5",TRUE
"ENSG00000198963",426.93362974183,-3.86360949704727,0.335034460521988,-11.5319764152849,9.10295960924625e-31,3.38792650314126e-28,"RORB",TRUE
"ENSG00000113504",298.333129501443,-2.93541891613453,0.255162378307083,-11.5041211624145,1.25763868891522e-30,4.51925957833984e-28,"SLC12A7",TRUE
"ENSG00000137449",6738.14820505174,1.47468177152087,0.12817413768438,11.5052989484679,1.24058734965103e-30,4.51925957833984e-28,"CPEB2",TRUE
"ENSG00000102401",874.516317460939,2.50010176427006,0.217604184348451,11.4892173225246,1.49459889453438e-30,5.27973392540433e-28,"ARMCX3",TRUE
"ENSG00000023572",782.189554460795,1.73742227927549,0.151613507588322,11.459548076634,2.1061086134175e-30,7.31591928680791e-28,"GLRX2",TRUE
"ENSG00000076043",806.897039925086,1.9108519157803,0.167386480340251,11.4158079666653,3.48648877601829e-30,1.19123605032415e-27,"REXO2",TRUE
"ENSG00000178538",1268.07064761195,2.58131395554315,0.2262242109858,11.4104230678704,3.70920829471804e-30,1.24689224642763e-27,"CA8",TRUE
"ENSG00000143147",1627.38256530961,-1.27243041196656,0.112092643037684,-11.3515961216009,7.2821087307303e-30,2.40910651056954e-27,"GPR161",TRUE
"ENSG00000103544",938.899597605656,1.60510191507711,0.143372816159879,11.1953015785588,4.29936794552084e-29,1.40011604250852e-26,"VPS35L",TRUE
"ENSG00000284526",105.804440565632,-2.81962320709037,0.252324118121301,-11.1746083889407,5.42892993307486e-29,1.74076550254071e-26,"",TRUE
"ENSG00000018236",908.338521717427,2.77975968495827,0.248977151185531,11.1647180141718,6.06834560046914e-29,1.91630998492391e-26,"CNTN1",TRUE
"ENSG00000155495",1848.66416949921,1.05167719268882,0.0942414505767037,11.15939097131,6.44314408154398e-29,2.00429864100805e-26,"MAGEC1",TRUE
"ENSG00000129993",41.5364859701485,-5.2270554581925,0.469271411217291,-11.1386616214985,8.13323876739055e-29,2.4928376822052e-26,"CBFA2T3",TRUE
"ENSG00000145555",8228.13637510575,-1.57456749739975,0.142165614765956,-11.0755860338797,1.64798412815605e-28,4.97786742014903e-26,"MYO10",TRUE
"ENSG00000082074",372.233700530551,3.95125805435309,0.357554066714903,11.0507988082922,2.17272895573476e-28,6.46914527077484e-26,"FYB1",TRUE
"ENSG00000152137",293.649245891388,6.04579294726475,0.548854060821845,11.0153014777952,3.22455301680798e-28,9.46565267271999e-26,"HSPB8",TRUE
"ENSG00000013364",538.878285566822,3.7097990671081,0.339815686929296,10.9170918524429,9.55049540535932e-28,2.76460312831249e-25,"MVP",TRUE
