"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneName","threshold"
"ENSG00000248360",1949.51944682516,2.29294956690591,0.153054058102074,14.9813052678205,9.72874150934689e-51,1.26467153793837e-47,1.26467153793837e-47,TRUE
"ENSG00000136861",2088.15774486049,-1.32645196244043,0.0889106206788857,-14.9189371563507,2.48195240439538e-50,3.0247243708316e-47,3.0247243708316e-47,TRUE
"ENSG00000018236",908.338521717427,3.60903656186604,0.248284124157339,14.5359135390348,7.17499083519985e-48,8.22971448797423e-45,8.22971448797423e-45,TRUE
"ENSG00000187191",1749.22193305007,2.87827986297261,0.200972654647309,14.3217487375273,1.60044684776365e-46,1.73372850469686e-43,1.73372850469686e-43,TRUE
"ENSG00000279968",581.566686356051,4.23606034248354,0.295955842599852,14.3131499120662,1.8112024828694e-46,1.85877037965634e-43,1.85877037965634e-43,TRUE
"ENSG00000114541",416.069121798902,-2.84595711725105,0.199124575961333,-14.2923448977171,2.44244741614875e-46,2.38126410837422e-43,2.38126410837422e-43,TRUE
"ENSG00000185477",83.6214550552388,-4.60746193286482,0.325496631290524,-14.155175476309,1.73504115107706e-45,1.61102701927865e-42,1.61102701927865e-42,TRUE
"ENSG00000119866",90.4679586627841,-4.65668194068873,0.332398835163446,-14.0093208762268,1.36705969176009e-44,1.21164986043773e-41,1.21164986043773e-41,TRUE
"ENSG00000095637",1319.43164820781,-1.75108395311199,0.126372946351117,-13.8564780174291,1.16239336773943e-43,9.85456881632658e-41,9.85456881632658e-41,TRUE
"ENSG00000105855",891.671466938091,2.63624440523125,0.190728618921287,13.8219655767508,1.87869028442839e-43,1.52635757733621e-40,1.52635757733621e-40,TRUE
"ENSG00000205916",992.269865393113,3.48462172307326,0.253851799585235,13.7269923977956,6.99786422314109e-43,5.45805417948113e-40,5.45805417948113e-40,TRUE
"ENSG00000075213",911.171535441746,3.44932398831727,0.26383657990165,13.0737139997914,4.65367547053069e-39,3.49007761537992e-36,3.49007761537992e-36,TRUE
"ENSG00000031081",2963.54024034607,1.24705963425272,0.0954399287658535,13.0664350904135,5.12096960076754e-39,3.69828837945801e-36,3.69828837945801e-36,TRUE
"ENSG00000184083",536.577843930521,2.09666676503971,0.161441391354906,12.9871698171288,1.44678936926769e-38,1.00753378254824e-35,1.00753378254824e-35,TRUE
"ENSG00000147381",262.576695080882,-3.70081239190361,0.286455226532297,-12.9193397401194,3.50133052016469e-38,2.35422220043763e-35,2.35422220043763e-35,TRUE
"ENSG00000214107",58.8248083159039,-5.0960538856819,0.397882330630052,-12.8079421813284,1.48007748511711e-37,9.62001029409952e-35,9.62001029409952e-35,TRUE
