	GeneID	control	sgRNA6_D3	sgRNA6_D5	sgRNA7_D3	sgRNA7_D5
1	ENSG00000102931	1084.65009648365	2215.75624694388	2253.27169941006	2886.05082951192	1891.16211044454
2	ENSG00000251002	1.14535385056352	3.45851651448056	8.14435554003636	5.86595697055268	12.1172858335119
3	ENSG00000167977	621.927140855991	948.786363805832	1037.95286715797	1358.55563438	834.361681678963
4	ENSG00000237499	234.797539365521	228.262089955717	277.813016754574	279.219551798308	206.859379586382
5	ENSG00000211798	3.43606155169056	1.15283883816019	0.904928393337374	1.17319139411054	3.46208166671769
6	ENSG00000274512	336.734032065675	576.419419080093	429.840986835253	624.137821666805	347.939207505128
7	ENSG00000165819	1451.16332866398	2278.00954420453	2565.47199511146	2104.7053610343	1854.810252944
8	ENSG00000129472	859.015387922639	1386.8651223067	1486.79735025331	1943.97814004116	1104.40405168294
9	ENSG00000110811	358.495755226381	441.537275015351	381.879781988372	334.359547321503	319.377033754707
10	ENSG00000200785	0	0	4.52464196668687	2.34638278822107	6.92416333343538
11	ENSG00000100888	8144.61123135718	10785.9601698267	11201.20365273	12081.5249765503	8197.34386637081
12	ENSG00000260830	4.58141540225408	3.45851651448056	2.71478518001212	1.17319139411054	5.19312250007653
13	ENSG00000092201	9423.97148243663	7745.92415359829	9451.07214001553	8499.77165033083	6814.24224051709
14	ENSG00000169327	2.29070770112704	2.30567767632037	6.33449875336162	0	0
15	ENSG00000227775	19.4710154595798	10.3755495434417	19.0034962600849	10.5587225469948	6.92416333343538
16	ENSG00000261219	2.29070770112704	9.22271070528148	9.04928393337374	7.03914836466322	0
17	ENSG00000230989	2618.2789023882	2953.57310336639	2991.69326837336	3287.28228629772	2368.0638600349
18	ENSG00000165795	501.664986546821	562.58535302217	391.833994315083	563.131869173057	242.345716670238
19	ENSG00000258471	1.14535385056352	3.45851651448056	2.71478518001212	4.69276557644214	2.59656125003827
20	ENSG00000165792	1072.05120412745	1656.62941043619	1675.02245606748	1489.95307052038	1118.25237834981
21	ENSG00000169413	2.29070770112704	5.76419419080093	4.52464196668687	11.7319139411054	1.73104083335884
22	ENSG00000259171	0	0	28.957708586796	0	19.0414491669473
23	ENSG00000258818	74.4480002866287	137.187821741062	78.7287702203515	183.017857481244	131.559103335272
24	ENSG00000145741	9552.25111369975	11387.7420433463	13566.6864729139	9830.17069125218	9766.5323818106
25	ENSG00000256197	18.3256616090163	2.30567767632037	5.42957036002424	4.69276557644214	2.59656125003827
26	ENSG00000165782	542.897725167108	582.183613270894	561.055603869172	700.39526228399	400.735952922572
27	ENSG00000100823	4474.89749415167	4607.89683612626	4783.45148718136	4360.75241190886	3629.9926275535
28	ENSG00000092094	726.154341257271	820.821252770052	947.460027824231	920.955244376771	731.364752094112
29	ENSG00000251192	28.633846264088	25.3624544395241	20.8133530467596	25.8102106704318	18.1759287502679
30	ENSG00000147955	4604.32247926535	4596.36844774466	5294.73602941697	4066.28137198712	3840.3140888066
31	ENSG00000188897	227.92541626214	169.467309209547	133.024473820594	138.436584505043	98.6693275014541
32	ENSG00000129484	1482.08788262919	1544.80404313465	1620.72675246724	1583.80838204922	1165.85600126718
33	ENSG00000142409	1210.63902004564	993.74707849408	1047.90707948468	981.961196870519	791.951181261671
34	ENSG00000277209	31555.6439368755	68642.3301017338	60995.7934245124	73656.4752964418	47583.7159477846
35	ENSG00000111729	1.14535385056352	4.61135535264074	0.904928393337374	3.51957418233161	5.19312250007653
36	ENSG00000222489	52.6862771259219	57.6419419080093	59.7252739602667	79.7770147995164	62.3174700009184
37	ENSG00000100814	1808.5137300398	1624.3499229677	1875.01163099504	1413.6956299032	1312.128951686
38	ENSG00000232403	1.14535385056352	4.61135535264074	2.71478518001212	3.51957418233161	1.73104083335884
39	ENSG00000164091	4503.53134041576	4300.08886633749	4972.58152138887	4474.55197713758	3500.16456505158
40	ENSG00000180318	594.438648442466	1305.01356479733	1350.15316285936	1241.23649496895	933.896529597097
41	ENSG00000287686	92.773661895645	118.742400330499	143.883614540642	131.39743614038	89.1486029179805
42	ENSG00000285628	50.3955694247948	95.6856235672954	76.0139850403394	91.5089287406218	35.4863370838563
43	ENSG00000232827	14.8896000573257	50.7249088790482	44.3414912735313	43.4080815820898	35.4863370838563
44	ENSG00000141314	20.6163693101433	8.0698718671213	12.6689975067232	11.7319139411054	17.3104083335884
45	ENSG00000223396	26.3431385629609	31.126648630325	30.7675653734707	16.4246795175475	14.7138470835502
46	ENSG00000149218	1961.99114601531	1529.81713823857	2366.38774857723	1924.03388634128	1804.6100687766
47	ENSG00000278301	0	6.91703302896111	0.904928393337374	8.21233975877375	1.73104083335884
48	ENSG00000287515	357.350401375818	677.869236838189	469.657836142097	581.902931478826	357.459932088601
49	ENSG00000086619	340.170093617365	613.310261901219	598.157667996004	1000.73225917629	472.574147506965
50	ENSG00000203812	9128.47018899125	2901.69535564919	2284.94419317687	3106.6108116047	1847.02056919389
51	ENSG00000181404	577.258340684014	447.301469206152	390.929065921746	456.371452308998	254.46300250375
52	ENSG00000167700	431.798401662447	406.952109870545	409.93256218183	220.559982092781	266.580288337262
53	ENSG00000185989	1838.29293015445	1834.16659151285	2006.22624802896	1912.30197240017	1512.92968835563
54	ENSG00000283199	521.136002006401	285.904031863726	265.144019247851	288.605082951192	212.918022503138
55	ENSG00000286699	255.413908675665	556.82115883137	616.256235862752	550.226763837841	435.356769589749
56	ENSG00000150403	1760.40886831613	2155.80862735955	2304.85261783029	2602.13851213717	1639.29566919083
