term,p-value,q-value
LINC01781,0.000142511877079936,0.008711038486511087
LINC01285,0.000142511877079936,0.008711038486511087
LINC00941,0.000142511877079936,0.008711038486511087
LINC01282,0.000142511877079936,0.008711038486511087
LINC01948,0.000142511877079936,0.008711038486511087
LINC02475,0.000142511877079936,0.008711038486511087
LINC01283,0.000142511877079936,0.008711038486511087
DPYD-AS1,0.00046668940993959654,0.020746465587314793
ITFG1-AS1,0.00046668940993959654,0.020746465587314793
PAPPA-AS1,0.00046668940993959654,0.020746465587314793
PXN-AS1,0.00046668940993959654,0.020746465587314793
HOXC-AS2,0.00046668940993959654,0.020746465587314793
VCAN-AS1,0.00046668940993959654,0.020746465587314793
PRKG1-AS1,0.00046668940993959654,0.020746465587314793
VLDLR-AS1,0.00046668940993959654,0.020746465587314793
SNRK-AS1,0.00046668940993959654,0.020746465587314793
LINC01050,0.00046668940993959654,0.020746465587314793
LINC02126,0.00046668940993959654,0.020746465587314793
LINC02584,0.00046668940993959654,0.020746465587314793
LINC02847,0.00046668940993959654,0.020746465587314793
LINC01179,0.00046668940993959654,0.020746465587314793
LINC02360,0.00046668940993959654,0.020746465587314793
LINC02355,0.00046668940993959654,0.020746465587314793
LINC01852,0.00046668940993959654,0.020746465587314793
LINC00601,0.00046668940993959654,0.020746465587314793
LINC01449,0.00046668940993959654,0.020746465587314793
LINC02471,0.00046668940993959654,0.020746465587314793
LINC02864,0.00046668940993959654,0.020746465587314793
LINC02544,0.001421164194344221,0.04864645037240268
LINC02861,0.001421164194344221,0.04864645037240268
IL10RB-DT,0.001421164194344221,0.04864645037240268
POT1-AS1,0.001421164194344221,0.04864645037240268
LAMA4-AS1,0.001421164194344221,0.04864645037240268
ERVH-1,0.001421164194344221,0.04864645037240268
PEF1-AS1,0.001421164194344221,0.04864645037240268
ADAMTS9-AS2,0.001421164194344221,0.04864645037240268
OSMR-AS1,0.001421164194344221,0.04864645037240268
ARMCX3-AS1,0.001421164194344221,0.04864645037240268
LINC02244,0.001421164194344221,0.04864645037240268
LINC01116,0.001421164194344221,0.04864645037240268
LINC02509,0.001421164194344221,0.04864645037240268
LINC01322,0.001421164194344221,0.04864645037240268
LINC02082,0.001421164194344221,0.04864645037240268
LINC01135,0.001421164194344221,0.04864645037240268
LINC01638,0.001421164194344221,0.04864645037240268
LINC01697,0.001421164194344221,0.04864645037240268
LINC01349,0.001421164194344221,0.04864645037240268
LINC01159,0.001421164194344221,0.04864645037240268
LINC02794,0.001421164194344221,0.04864645037240268
LINC00705,0.001421164194344221,0.04864645037240268
LINC02721,0.001421164194344221,0.04864645037240268
SLC12A5-AS1,0.004011452807085248,0.110735507731071
LHFPL3-AS2,0.004011452807085248,0.110735507731071
ELN-AS1,0.004011452807085248,0.110735507731071
CAVIN2-AS1,0.004011452807085248,0.110735507731071
USP27X-AS1,0.004011452807085248,0.110735507731071
L3MBTL4-AS1,0.004011452807085248,0.110735507731071
DPH6-DT,0.004011452807085248,0.110735507731071
TUB-AS1,0.004011452807085248,0.110735507731071
SEC23A-AS1,0.004011452807085248,0.110735507731071
COL5A1-AS1,0.004011452807085248,0.110735507731071
SLC16A12-AS1,0.004011452807085248,0.110735507731071
LINC02391,0.004011452807085248,0.110735507731071
LINC01615,0.004011452807085248,0.110735507731071
LINC01912,0.004011452807085248,0.110735507731071
LINC02408,0.004011452807085248,0.110735507731071
LINC02561,0.004011452807085248,0.110735507731071
LINC00379,0.004011452807085248,0.110735507731071
LINC00533,0.004011452807085248,0.110735507731071
LINC01990,0.004011452807085248,0.110735507731071
LINC01303,0.004011452807085248,0.110735507731071
LINC02236,0.004011452807085248,0.110735507731071
LINC02695,0.004011452807085248,0.110735507731071
LINC00922,0.004011452807085248,0.110735507731071
LINC02006,0.004011452807085248,0.110735507731071
DIRC3-AS1,0.01045864125171758,0.21437083236304955
LINC00547,0.01045864125171758,0.21437083236304955
LINC02351,0.01045864125171758,0.21437083236304955
PRDM16-DT,0.01045864125171758,0.21437083236304955
SAMSN1-AS1,0.01045864125171758,0.21437083236304955
TEX26-AS1,0.01045864125171758,0.21437083236304955
P3H2-AS1,0.01045864125171758,0.21437083236304955
NHS-AS1,0.01045864125171758,0.21437083236304955
LINC01836,0.01045864125171758,0.21437083236304955
SRD5A3-AS1,0.01045864125171758,0.21437083236304955
SYP-AS1,0.01045864125171758,0.21437083236304955
LRRC52-AS1,0.01045864125171758,0.21437083236304955
CNTN4-AS1,0.01045864125171758,0.21437083236304955
LINC01543,0.01045864125171758,0.21437083236304955
EDIL3-DT,0.01045864125171758,0.21437083236304955
NAV2-AS3,0.01045864125171758,0.21437083236304955
NAV2-IT1,0.01045864125171758,0.21437083236304955
DIO2-AS1,0.01045864125171758,0.21437083236304955
KCNJ2-AS1,0.01045864125171758,0.21437083236304955
STXBP5-AS1,0.01045864125171758,0.21437083236304955
LINC02188,0.01045864125171758,0.21437083236304955
SCN1A-AS1,0.01045864125171758,0.21437083236304955
LINC02420,0.01045864125171758,0.21437083236304955
LINC01571,0.01045864125171758,0.21437083236304955
LINC01121,0.01045864125171758,0.21437083236304955
LINC01776,0.01045864125171758,0.21437083236304955
LINC01537,0.01045864125171758,0.21437083236304955
LINC01693,0.01045864125171758,0.21437083236304955
LINC01736,0.01045864125171758,0.21437083236304955
LINC01433,0.01045864125171758,0.21437083236304955
LINC01508,0.01045864125171758,0.21437083236304955
LINC02596,0.01045864125171758,0.21437083236304955
LINC00113,0.01045864125171758,0.21437083236304955
LINC00398,0.01045864125171758,0.21437083236304955
LINC02154,0.01045864125171758,0.21437083236304955
LINC01586,0.01045864125171758,0.21437083236304955
LINC02056,0.01045864125171758,0.21437083236304955
LINC01111,0.01045864125171758,0.21437083236304955
LINC01326,0.01045864125171758,0.21437083236304955
LINC00886,0.01045864125171758,0.21437083236304955
LINC01119,0.01045864125171758,0.21437083236304955
LINC02101,0.01045864125171758,0.21437083236304955
LINC00346,0.01045864125171758,0.21437083236304955
ABCA9-AS1,0.025090859883728202,0.35785838909167345
