term,p-value,q-value
FOSL2 ENCODE,1.8125039428101029e-06,0.0001885004100522507
NFE2L2 CHEA,9.164200964401311e-06,0.0004765384501488682
FOXA2 ENCODE,0.012170430920252315,0.4219082719020802
STAT3 ENCODE,0.03154365376235282,0.8201349978211733
RUNX1 CHEA,0.04785501639889252,0.9358084047114437
